model,crit,learning_rate,delta,preference_recall,preference_precision,indifference_recall,indifference_precision,total_recall,nb_indifferences,nb_preferences,nb_indiff_vrai,nb_indiff_fausse,nb_pref_vrai,nb_pref_fausse,nb_pref_inverse,calc_preference_recall,calc_indifference_recall,calc_preference_precision,calc_indifference_precision,calc_precision_total
L2,linear,1e-05,1e-15,0.8333333333333334,1.0,0.0,0.0,0.545,346,654,0,346,545,0,109,0.8333333333333334,0.0,0.611672278338945,0.0,0.545
L1,linear,1e-05,1e-10,0.7919161676646707,1.0,0.0,0.0,0.529,332,668,0,332,529,0,139,0.7919161676646707,0.0,0.6144018583042973,0.0,0.529
L1,linear,1e-05,1e-15,0.8534351145038168,1.0,0.0,0.0,0.559,345,655,0,345,559,0,96,0.8534351145038168,0.0,0.6183628318584071,0.0,0.559
L1,linear,1e-05,1e-12,0.8312693498452013,1.0,0.0,0.0,0.537,354,646,0,354,537,0,109,0.8312693498452013,0.0,0.6026936026936027,0.0,0.537
L1,linear,1e-05,1e-15,0.8684971098265896,1.0,0.0,0.0,0.601,308,692,0,308,601,0,91,0.8684971098265896,0.0,0.6611661166116611,0.0,0.601
L2,2-add,1e-05,0.01,0.8482142857142857,0.8934169278996865,0.16463414634146342,0.6136363636363636,0.624,328,672,54,274,570,68,34,0.8482142857142857,0.16463414634146342,0.625,0.6136363636363636,0.624
L2,2-add,1e-05,0.1,0.7782738095238095,0.7782738095238095,0.600609756097561,1.0,0.72,328,672,197,131,523,149,0,0.7782738095238095,0.600609756097561,0.651307596513076,1.0,0.72
L1,2-add,1e-05,0.01,0.7596439169139466,0.7596439169139466,0.8558282208588958,1.0,0.791,326,674,279,47,512,162,0,0.7596439169139466,0.8558282208588958,0.710124826629681,1.0,0.791
L1,2-add,1e-05,0.1,0.5816023738872403,0.5816023738872403,0.8742331288343558,1.0,0.677,326,674,285,41,392,282,0,0.5816023738872403,0.8742331288343558,0.5482517482517483,1.0,0.677
L2,2-add,1e-05,0.01,0.8013888888888889,0.8795731707317073,0.075,0.24705882352941178,0.598,280,720,21,259,577,79,64,0.8013888888888889,0.075,0.6306010928961748,0.24705882352941178,0.598
L2,2-add,1e-05,0.1,0.7555228276877761,0.7555228276877761,0.6542056074766355,1.0,0.723,321,679,210,111,513,166,0,0.7555228276877761,0.6542056074766355,0.649367088607595,1.0,0.723
L1,2-add,1e-05,0.01,0.6995447647951442,0.7059724349157733,0.8797653958944281,0.9803921568627451,0.761,341,659,300,41,461,192,6,0.6995447647951442,0.8797653958944281,0.6642651296829971,0.9803921568627451,0.761
L1,2-add,1e-05,0.1,0.5507462686567164,0.5548872180451128,0.9242424242424242,0.9838709677419355,0.674,330,670,305,25,369,296,5,0.5507462686567164,0.9242424242424242,0.5347826086956522,0.9838709677419355,0.674
L2,2-add,1e-05,0.01,0.7615262321144675,0.8244406196213425,0.16711590296495957,0.5636363636363636,0.541,371,629,62,309,479,102,48,0.7615262321144675,0.16711590296495957,0.5382022471910113,0.5636363636363636,0.541
L2,2-add,1e-05,0.1,0.7376788553259142,0.7376788553259142,0.7196765498652291,1.0,0.731,371,629,267,104,464,165,0,0.7376788553259142,0.7196765498652291,0.6330150068212824,1.0,0.731
L1,2-add,1e-05,0.01,0.8151862464183381,0.8151862464183381,0.890728476821192,1.0,0.838,302,698,269,33,569,129,0,0.8151862464183381,0.890728476821192,0.7783857729138167,1.0,0.838
L1,2-add,1e-05,0.1,0.5329341317365269,0.541033434650456,0.9156626506024096,0.9681528662420382,0.66,332,668,304,28,356,302,10,0.5329341317365269,0.9156626506024096,0.5189504373177842,0.9681528662420382,0.66
L2,2-add,1e-05,0.01,0.7933634992458521,0.8580750407830342,0.1394658753709199,0.4845360824742268,0.573,337,663,47,290,526,87,50,0.7933634992458521,0.1394658753709199,0.5825027685492802,0.4845360824742268,0.573
L2,2-add,1e-05,0.1,0.7480438184663537,0.7480438184663537,0.7340720221606648,1.0,0.743,361,639,265,96,478,161,0,0.7480438184663537,0.7340720221606648,0.6503401360544218,1.0,0.743
L1,2-add,1e-05,0.01,0.7447108603667136,0.7478753541076487,0.9312714776632303,0.9890510948905109,0.799,291,709,271,20,528,178,3,0.7447108603667136,0.9312714776632303,0.7272727272727273,0.9890510948905109,0.799
L1,2-add,1e-05,0.1,0.5187667560321716,0.5222672064777328,0.9330708661417323,0.9793388429752066,0.624,254,746,237,17,387,354,5,0.5187667560321716,0.9330708661417323,0.5105540897097626,0.9793388429752066,0.624
L2,2-add,1e-05,0.01,0.8375706214689266,0.9039634146341463,0.18835616438356165,0.514018691588785,0.648,292,708,55,237,593,63,52,0.8375706214689266,0.18835616438356165,0.6640537513997761,0.514018691588785,0.648
L2,2-add,1e-05,0.1,0.8055555555555556,0.8055555555555556,0.6044303797468354,1.0,0.742,316,684,191,125,551,133,0,0.8055555555555556,0.6044303797468354,0.681087762669963,1.0,0.742
L1,2-add,1e-05,0.01,0.8005738880918221,0.8005738880918221,0.9042904290429042,1.0,0.832,303,697,274,29,558,139,0,0.8005738880918221,0.9042904290429042,0.768595041322314,1.0,0.832
L1,2-add,1e-05,0.1,0.4620991253644315,0.4620991253644315,0.9394904458598726,1.0,0.612,314,686,295,19,317,369,0,0.4620991253644315,0.9394904458598726,0.44964539007092197,1.0,0.612
L2,2-add,1e-05,1e-05,0.7969924812030075,0.9981167608286252,0.0,0.0,0.53,335,665,0,335,530,1,134,0.7969924812030075,0.0,0.6120092378752887,0.0,0.53
