model,crit,learning_rate,delta,preference_recall,preference_precision,indifference_recall,indifference_precision,total_recall,nb_indifferences,nb_preferences,nb_indiff_vrai,nb_indiff_fausse,nb_pref_vrai,nb_pref_fausse,nb_pref_inverse
L1,linear,1e-05,1e-12,0.8286118980169972,1.0,0.0,0.0,0.585,294,706,0,294,585,0,121
L2,linear,1e-05,1e-12,0.8743589743589744,1.0,0.0,0.0,0.682,220,780,0,220,682,0,98
L2,linear,1e-05,1e-10,0.8540462427745664,1.0,0.0,0.0,0.591,308,692,0,308,591,0,101
L1,linear,1e-05,1e-15,0.8302158273381295,1.0,0.0,0.0,0.577,305,695,0,305,577,0,118
L2,linear,1e-05,1e-15,0.7928994082840237,1.0,0.0,0.0,0.536,324,676,0,324,536,0,140
L1,linear,1e-05,1e-10,0.8476331360946746,1.0,0.0,0.0,0.573,324,676,0,324,573,0,103
L1,linear,1e-05,1e-12,0.8110795454545454,1.0,0.0,0.0,0.571,296,704,0,296,571,0,133
L2,linear,1e-05,1e-12,0.8348993288590604,1.0,0.0,0.0,0.622,255,745,0,255,622,0,123
L2,linear,1e-05,1e-10,0.847457627118644,1.0,0.0,0.0,0.6,292,708,0,292,600,0,108
L1,linear,1e-05,1e-10,0.7712609970674487,1.0,0.0,0.0,0.526,318,682,0,318,526,0,156
L2,linear,1e-05,1e-15,0.7695590327169275,1.0,0.0,0.0,0.541,297,703,0,297,541,0,162
L1,linear,1e-05,1e-15,0.8418803418803419,1.0,0.0,0.0,0.591,298,702,0,298,591,0,111
L2,linear,1e-05,1e-12,0.797317436661699,1.0,0.0,0.0,0.535,329,671,0,329,535,0,136
L1,linear,1e-05,1e-12,0.8680465717981889,1.0,0.0,0.0,0.671,227,773,0,227,671,0,102
L2,linear,1e-05,1e-15,0.8333333333333334,1.0,0.0,0.0,0.545,346,654,0,346,545,0,109
L1,linear,1e-05,1e-10,0.7919161676646707,1.0,0.0,0.0,0.529,332,668,0,332,529,0,139
L1,linear,1e-05,1e-15,0.8534351145038168,1.0,0.0,0.0,0.559,345,655,0,345,559,0,96
L1,linear,1e-05,1e-12,0.8312693498452013,1.0,0.0,0.0,0.537,354,646,0,354,537,0,109
L1,linear,1e-05,1e-15,0.8684971098265896,1.0,0.0,0.0,0.601,308,692,0,308,601,0,91
L2,2-add,1e-05,0.01,0.8482142857142857,0.8934169278996865,0.16463414634146342,0.6136363636363636,0.624,328,672,54,274,570,68,34
L2,2-add,1e-05,0.1,0.7782738095238095,0.7782738095238095,0.600609756097561,1.0,0.72,328,672,197,131,523,149,0
L1,2-add,1e-05,0.01,0.7596439169139466,0.7596439169139466,0.8558282208588958,1.0,0.791,326,674,279,47,512,162,0
L1,2-add,1e-05,0.1,0.5816023738872403,0.5816023738872403,0.8742331288343558,1.0,0.677,326,674,285,41,392,282,0
L2,2-add,1e-05,0.01,0.8013888888888889,0.8795731707317073,0.075,0.24705882352941178,0.598,280,720,21,259,577,79,64
L2,2-add,1e-05,0.1,0.7555228276877761,0.7555228276877761,0.6542056074766355,1.0,0.723,321,679,210,111,513,166,0
L1,2-add,1e-05,0.01,0.6995447647951442,0.7059724349157733,0.8797653958944281,0.9803921568627451,0.761,341,659,300,41,461,192,6
L1,2-add,1e-05,0.1,0.5507462686567164,0.5548872180451128,0.9242424242424242,0.9838709677419355,0.674,330,670,305,25,369,296,5
L2,2-add,1e-05,0.01,0.7615262321144675,0.8244406196213425,0.16711590296495957,0.5636363636363636,0.541,371,629,62,309,479,102,48
L2,2-add,1e-05,0.1,0.7376788553259142,0.7376788553259142,0.7196765498652291,1.0,0.731,371,629,267,104,464,165,0
L1,2-add,1e-05,0.01,0.8151862464183381,0.8151862464183381,0.890728476821192,1.0,0.838,302,698,269,33,569,129,0
L1,2-add,1e-05,0.1,0.5329341317365269,0.541033434650456,0.9156626506024096,0.9681528662420382,0.66,332,668,304,28,356,302,10
L2,2-add,1e-05,0.01,0.7933634992458521,0.8580750407830342,0.1394658753709199,0.4845360824742268,0.573,337,663,47,290,526,87,50
L2,2-add,1e-05,0.1,0.7480438184663537,0.7480438184663537,0.7340720221606648,1.0,0.743,361,639,265,96,478,161,0
L1,2-add,1e-05,0.01,0.7447108603667136,0.7478753541076487,0.9312714776632303,0.9890510948905109,0.799,291,709,271,20,528,178,3
L1,2-add,1e-05,0.1,0.5187667560321716,0.5222672064777328,0.9330708661417323,0.9793388429752066,0.624,254,746,237,17,387,354,5
L2,2-add,1e-05,0.01,0.8375706214689266,0.9039634146341463,0.18835616438356165,0.514018691588785,0.648,292,708,55,237,593,63,52
L2,2-add,1e-05,0.1,0.8055555555555556,0.8055555555555556,0.6044303797468354,1.0,0.742,316,684,191,125,551,133,0
L1,2-add,1e-05,0.01,0.8005738880918221,0.8005738880918221,0.9042904290429042,1.0,0.832,303,697,274,29,558,139,0
L1,2-add,1e-05,0.1,0.4620991253644315,0.4620991253644315,0.9394904458598726,1.0,0.612,314,686,295,19,317,369,0
L2,2-add,1e-05,1e-05,0.7969924812030075,0.9981167608286252,0.0,0.0,0.53,335,665,0,335,530,1,134
L1,2-add,1e-05,1e-05,0.8971014492753623,0.9983870967741936,0.016129032258064516,0.06666666666666667,0.624,310,690,5,305,619,1,70
L2,2-add,1e-05,1e-05,0.8781163434903048,1.0,0.0,0.0,0.634,278,722,0,278,634,0,88
L1,2-add,1e-05,1e-05,0.8825448613376835,0.9944852941176471,0.03617571059431524,0.1686746987951807,0.555,387,613,14,373,541,3,69
L2,2-add,1e-05,1e-05,0.7851851851851852,1.0,0.0,0.0,0.53,325,675,0,325,530,0,145
L1,2-add,1e-05,1e-05,0.8855507868383404,0.9919871794871795,0.009966777408637873,0.038461538461538464,0.622,301,699,3,298,619,5,75
L2,2-add,1e-05,1e-05,0.8651226158038147,1.0,0.0,0.0,0.635,266,734,0,266,635,0,99
L1,2-add,1e-05,1e-05,0.881638846737481,1.0,0.017595307917888565,0.07142857142857142,0.587,341,659,6,335,581,0,78
L2,2-add,1e-05,1e-05,0.8428805237315876,1.0,0.0,0.0,0.515,389,611,0,389,515,0,96
L1,2-add,1e-05,1e-05,0.8992805755395683,0.9936406995230525,0.022950819672131147,0.0958904109589041,0.632,305,695,7,298,625,4,66
L2,game,1e-05,0.01,0.9150805270863837,0.9150805270863837,0.5678233438485805,1.0,0.805,317,683,180,137,625,58,0
L2,game,1e-05,0.1,0.8916544655929722,0.8916544655929722,0.7160883280757098,1.0,0.836,317,683,227,90,609,74,0
L2,game,1e-05,1e-05,0.9347826086956522,1.0,0.025806451612903226,0.1509433962264151,0.653,310,690,8,302,645,0,45
L2,game,1e-05,1e-08,0.889894419306184,1.0,0.0,0.0,0.59,337,663,0,337,590,0,73
L1,game,1e-05,0.1,0.771513353115727,0.7807807807807807,0.803680981595092,0.9703703703703703,0.782,326,674,262,64,520,146,8
L1,game,1e-05,0.01,0.857566765578635,0.9174603174603174,0.32515337423312884,0.7066666666666667,0.684,326,674,106,220,578,52,44
L1,game,1e-05,1e-05,0.8502269288956127,1.0,0.0,0.0,0.562,339,661,0,339,562,0,99
L1,game,1e-05,1e-08,0.8529411764705882,1.0,0.0,0.0,0.638,252,748,0,252,638,0,110
L2,game,1e-05,0.01,0.8915343915343915,0.8915343915343915,0.3524590163934426,1.0,0.76,244,756,86,158,674,82,0
L2,game,1e-05,0.1,0.8270571827057183,0.8270571827057183,0.6855123674911661,1.0,0.787,283,717,194,89,593,124,0
L2,game,1e-05,1e-05,0.9423631123919308,1.0,0.0,0.0,0.654,306,694,0,306,654,0,40
L2,game,1e-05,1e-08,0.9172821270310192,1.0,0.0,0.0,0.621,323,677,0,323,621,0,56
L1,game,1e-05,0.1,0.7361963190184049,0.7418856259659969,0.8247126436781609,0.9828767123287672,0.767,348,652,287,61,480,167,5
L1,game,1e-05,0.01,0.8427586206896551,0.9065281899109793,0.28363636363636363,0.6046511627906976,0.689,275,725,78,197,611,63,51
L1,game,1e-05,1e-05,0.8881019830028328,1.0,0.0,0.0,0.627,294,706,0,294,627,0,79
L1,game,1e-05,1e-08,0.8542568542568543,1.0,0.0,0.0,0.592,307,693,0,307,592,0,101
L2,game,1e-05,0.1,0.8567454798331016,0.8567454798331016,0.797153024911032,1.0,0.84,281,719,224,57,616,103,0
L2,game,1e-05,0.01,0.896978021978022,0.896978021978022,0.3860294117647059,1.0,0.758,272,728,105,167,653,75,0
L2,game,1e-05,1e-05,0.8757062146892656,0.998389694041868,0.0136986301369863,0.04395604395604396,0.624,292,708,4,288,620,1,87
L2,game,1e-05,1e-08,0.906084656084656,1.0,0.0,0.0,0.685,244,756,0,244,685,0,71
L1,game,1e-05,0.1,0.7610966057441253,0.7691292875989446,0.8076923076923077,0.9593908629441624,0.772,234,766,189,45,583,175,8
